country,quarter,urate_gap,urate_gap_ratio,urate,urate_ceiling,urate_peak,urate_trough
chile,1986Q1,5.772939372549027,1.7176648262506164,13.817,8.044060627450973,0.0,0.0
chile,1986Q2,3.9804240196078506,1.4955643863771333,12.012526666666666,8.032102647058815,0.0,0.0
chile,1986Q3,3.276332000000007,1.4085128306496895,11.296476666666665,8.020144666666658,0.0,0.0
chile,1986Q4,3.249609980392165,1.4057859922224067,11.257796666666666,8.0081866862745,0.0,0.0
chile,1987Q1,3.084471294117656,1.3857407544945026,11.0807,7.996228705882344,0.0,0.0
chile,1987Q2,3.39022594117648,1.4246130996476625,11.374496666666667,7.9842707254901875,0.0,0.0
chile,1987Q3,2.96872725490197,1.3723796782467377,10.941040000000001,7.972312745098031,0.0,0.0
chile,1987Q4,2.312565235294125,1.2905103231764785,10.27292,7.960354764705874,0.0,0.0
chile,1988Q1,2.620779882352948,1.3297243398222265,10.569176666666666,7.948396784313718,0.0,0.0
chile,1988Q2,2.262741196078439,1.2851078741967203,10.19918,7.936438803921561,0.0,0.0
chile,1988Q3,1.6436481764705961,1.2074139887612914,9.568129,7.924480823529405,0.0,0.0
chile,1988Q4,0.694086490196085,1.0877199982807109,8.606609333333333,7.912522843137248,0.0,0.0
chile,1989Q1,0.3186461372549081,1.0403320702748073,8.219211,7.9005648627450915,0.0,0.0
chile,1989Q2,0.25893378431373115,1.03282376573904,8.147540666666666,7.888606882352935,0.0,0.0
chile,1989Q3,0.0,1.0,7.679153333333333,7.679153333333333,0.0,0.0
chile,1989Q4,0.0,1.0,7.594225333333334,7.594225333333334,0.0,0.0
chile,1990Q1,0.0,1.0,7.456644,7.456644,0.0,0.0
chile,1990Q2,0.016603372549024442,1.002117567795539,7.857378333333333,7.840774960784309,0.0,0.0
chile,1990Q3,0.0,1.0,7.805420000000001,7.805420000000001,0.0,0.0
chile,1990Q4,0.2337830000000043,1.0299075370298996,8.050642,7.816858999999996,0.0,0.0
chile,1991Q1,0.3476663137254947,1.044544615345162,8.152567333333334,7.804901019607839,0.0,0.0
chile,1991Q2,0.4062336274509839,1.0521283968594064,8.199176666666666,7.792943039215682,0.0,0.0
chile,1991Q3,0.7541032745098066,1.0969161704859804,8.535088333333332,7.780985058823526,0.0,0.0
chile,1991Q4,0.0,1.0,7.743366666666667,7.743366666666667,0.0,0.0
chile,1992Q1,0.0,1.0,6.954126333333334,6.954126333333334,0.0,0.0
chile,1992Q2,0.0,1.0,6.377546333333334,6.377546333333334,0.0,0.0
chile,1992Q3,0.0,1.0,6.554443666666667,6.554443666666667,0.0,0.0
chile,1992Q4,0.0,1.0,6.668628000000001,6.668628000000001,0.0,0.0
chile,1993Q1,0.0,1.0,6.5532449999999995,6.5532449999999995,0.0,0.0
chile,1993Q2,0.0,1.0,6.297453,6.297453,0.0,0.0
chile,1993Q3,0.0,1.0,6.449212,6.449212,0.0,0.0
chile,1993Q4,0.0,1.0,6.880428333333334,6.880428333333334,0.0,0.0
chile,1994Q1,0.0,1.0,7.448038666666666,7.448038666666666,0.0,0.0
chile,1994Q2,0.0016647254901966946,1.000217626899102,7.651112,7.649447274509804,0.0,0.0
chile,1994Q3,0.30933303921568633,1.04050192770207,7.946822333333333,7.637489294117647,0.0,0.0
chile,1994Q4,0.7114943529411768,1.093304233327392,8.337025666666667,7.6255313137254905,0.0,0.0
chile,1995Q1,0.0,1.0,7.613573333333334,7.613573333333334,1.0,0.0
chile,1995Q2,0.0,1.0,7.420224666666667,7.420224666666667,0.0,0.0
chile,1995Q3,0.0,1.0,7.076511333333333,7.076511333333333,0.0,0.0
chile,1995Q4,0.0,1.0,7.180863666666667,7.180863666666667,0.0,0.0
chile,1996Q1,0.0,1.0,6.888623333333332,6.888623333333332,0.0,0.0
chile,1996Q2,0.0,1.0,6.357680666666667,6.357680666666667,0.0,0.0
chile,1996Q3,0.0,1.0,6.2352,6.2352,0.0,0.0
chile,1996Q4,0.0,1.0,5.923936,5.923936,0.0,0.0
chile,1997Q1,0.0,1.0,6.071948666666667,6.071948666666667,0.0,0.0
chile,1997Q2,0.0,1.0,6.288009333333334,6.288009333333334,0.0,0.0
chile,1997Q3,0.0,1.0,6.181456333333333,6.181456333333333,0.0,0.0
chile,1997Q4,0.0,1.0,5.8669286666666665,5.8669286666666665,0.0,0.0
chile,1998Q1,0.0,1.0,5.522887666666667,5.522887666666667,0.0,0.0
chile,1998Q2,0.0,1.0,5.813497666666667,5.813497666666667,0.0,0.0
chile,1998Q3,0.0,1.0,6.434296666666666,6.434296666666666,0.0,0.0
chile,1998Q4,0.4415900392156855,1.0593997772115231,7.875793666666667,7.434203627450981,0.0,0.0
chile,1999Q1,1.4112363529411738,1.1901360343012086,8.833481999999998,7.4222456470588245,0.0,0.0
chile,1999Q2,3.063335666666667,1.4133895746647354,10.473623333333334,7.410287666666667,0.0,1.0
chile,1999Q3,3.5633036470588237,1.4816362338744538,10.961633333333333,7.39832968627451,0.0,0.0
chile,1999Q4,2.737322627450979,1.3705909662346172,10.123694333333333,7.386371705882354,0.0,0.0
chile,2000Q1,1.766628274509804,1.239561860816586,9.141042,7.3744137254901965,0.0,0.0
chile,2000Q2,2.1735682549019604,1.2952232692670693,9.536024,7.362455745098039,0.0,0.0
chile,2000Q3,2.9576455686274503,1.4023735076594224,10.308143333333334,7.350497764705883,0.0,0.0
chile,2000Q4,2.573751215686274,1.3507170760575173,9.912291,7.338539784313726,0.0,0.0
chile,2001Q1,2.600606529411765,1.3549549570332764,9.927188333333334,7.326581803921568,0.0,0.0
chile,2001Q2,2.6300385098039216,1.3595589565855335,9.944662333333333,7.314623823529412,0.0,0.0
chile,2001Q3,2.6148251568627447,1.358064467556057,9.917491,7.302665843137255,0.0,0.0
chile,2001Q4,2.3364231372549025,1.3204658835932555,9.627131,7.290707862745098,0.0,0.0
chile,2002Q1,2.652183784313724,1.3643735294083734,9.930933666666666,7.278749882352942,0.0,0.0
chile,2002Q2,2.4498117647058812,1.3371242492914726,9.716603666666666,7.266791901960785,0.0,0.0
chile,2002Q3,2.6319620784313713,1.3627873645193374,9.886796,7.254833921568629,0.0,0.0
chile,2002Q4,2.365714392156864,1.3266263858956278,9.608590333333334,7.24287594117647,0.0,0.0
chile,2003Q1,2.400540705882353,1.3319828435201848,9.631458666666667,7.230917960784314,0.0,0.0
chile,2003Q2,2.333731352941177,1.3232780565732407,9.552691333333334,7.218959980392157,0.0,0.0
chile,2003Q3,2.429867999999999,1.337153784611132,9.63687,7.207002000000001,0.0,0.0
chile,2003Q4,2.083708647058824,1.2896033215891838,9.278752666666668,7.195044019607844,0.0,0.0
chile,2004Q1,2.4045366274509794,1.3347498017319486,9.587622666666666,7.183086039215687,0.0,0.0
chile,2004Q2,3.2249652745098034,1.449715197951559,10.396093333333333,7.1711280588235295,0.0,0.0
chile,2004Q3,3.2602799215686264,1.4553991434553233,10.41945,7.159170078431373,0.0,0.0
chile,2004Q4,2.5817662352941166,1.361227035084408,9.728978333333332,7.1472120980392155,0.0,0.0
chile,2005Q1,2.3185398823529404,1.3249414588639077,9.453794,7.13525411764706,0.0,0.0
chile,2005Q2,2.3569001960784313,1.330872134285113,9.480196333333334,7.123296137254902,0.0,0.0
chile,2005Q3,2.1452945098039216,1.3016724085513527,9.256632666666667,7.111338156862745,0.0,0.0
chile,2005Q4,1.6245061568627435,1.2288236601621687,8.723886333333333,7.099380176470589,0.0,0.0
chile,2006Q1,1.4647898039215672,1.206674551536108,8.552211999999999,7.087422196078432,0.0,0.0
chile,2006Q2,1.379327784313725,1.1949451996740739,8.454792,7.075464215686274,0.0,0.0
chile,2006Q3,0.4837247647058813,1.0684822450200242,7.547231,7.063506235294119,0.0,0.0
chile,2006Q4,0.0,1.0,6.689689,6.689689,0.0,0.0
chile,2007Q1,0.0,1.0,6.855157000000001,6.855157000000001,0.0,0.0
chile,2007Q2,0.0,1.0,6.562915666666666,6.562915666666666,0.0,0.0
chile,2007Q3,0.2992410196078419,1.0426532085479518,7.3149153333333325,7.015674313725491,0.0,0.0
chile,2007Q4,0.7245286666666662,1.103449173579227,7.728245,7.003716333333334,0.0,0.0
chile,2008Q1,0.7150243137254897,1.1022667371541388,7.706782666666666,6.991758352941177,0.0,0.0
chile,2008Q2,0.8852319607843127,1.126827690411585,7.865032333333333,6.97980037254902,0.0,0.0
chile,2008Q3,0.5243529411764714,1.075253272342482,7.492195333333334,6.967842392156863,0.0,0.0
chile,2008Q4,1.21707325490196,1.1749703104386677,8.172957666666667,6.955884411764707,0.0,0.0
chile,2009Q1,2.4776039019607836,1.3568015770972182,9.421530333333333,6.9439264313725495,0.0,0.0
chile,2009Q2,3.2097205490196066,1.4630316152932943,10.141689,6.931968450980393,0.0,0.0
chile,2009Q3,2.912631196078431,1.420899825001398,9.832641666666667,6.920010470588236,0.0,0.0
chile,2009Q4,2.458735843137255,1.3559231558571243,9.366788333333334,6.908052490196079,0.0,0.0
