country,x_multiplier_choice,tlb
albania,1,
argentina,1,
armenia,1,
australia,1.2,
austria,1,
azerbaijan,1,
belarus,1,
belgium,1,
bolivia,1,
brazil,1.4,
bulgaria,1,
canada,1,
chile,2,
china,1,
colombia,1,
croatia,1,
cyprus,1,
czech_republic,1,
denmark,1,
ecuador,1,
egypt,1,
estonia,1,
finland,1,
france,0.5,
germany,0.3,
greece,1,
hong_kong,0.4,
hungary,1,
iceland,1,
indonesia,0.7,
india,0.8,
iran,1,
ireland,1,
israel,1,
italy,0.4,
japan,0.25,
kazakhstan,1,
kosovo,1,
latvia,1,
lithuania,1,
luxembourg,1,
macau_sar_china_,1,
malaysia,0.35,2015Q1
malta,1,
mauritius,1,
mexico,1,
moldova,1,
mongolia,1,
montenegro,1,
morocco,1,
netherlands,1,
new_zealand,1,
north_macedonia,1,
norway,1,
oman,1,
paraguay,1,
philippines,1.5,
poland,1,
portugal,1,
romania,1,
russia,1,
saudi_arabia,1,
serbia,1,
singapore,2,
slovakia,1,
slovenia,1,
south_africa,1,
korea,0.8,
spain,1,
sri_lanka,1,
state_of_palestine_west_bank_and_gaza_,1,
sweden,1,
switzerland,1,
taiwan,1,
tajikistan,1,
thailand,0.18,
tunisia,1,
turkey,1,
ukraine,1,
united_kingdom,0.3,
united_states,1,
uruguay,1,
venezuela,1,
vietnam,1,
